store_name,category,rating,visited_review,blog_review,address,taste_value,menu
포명천천,중식당,별점 4.3,"방문자 리뷰 1,010",블로그 리뷰 274,경기 수원시 영통구 반달로 38 2층,0.0,"메뉴: 천천짜장면, 가격: 6,000원
메뉴: 찹쌀탕수육 소, 가격: 13,000원
메뉴: 중새우 깐풍소스, 가격: 11,900원
메뉴: 중새우 크림소스, 가격: 11,900원
메뉴: 중새우 칠리소스, 가격: 11,900원
메뉴: 양장피, 가격: 11,900원
메뉴: 찹쌀탕수육, 가격: 11,900원
메뉴: 삼선짬뽕, 가격: 9,000원
메뉴: 새우볶음밥, 가격: 8,000원
메뉴: 삼선 뚝배기 짬뽕탕, 가격: 15,900원
메뉴: 게살볶음밥, 가격: 9,000원
메뉴: 짬뽕밥, 가격: 9,000원
메뉴: 자연송이덮밥, 가격: 13,000원
메뉴: 군만두, 꽃빵, 가격: 6,000원
메뉴: 잡채밥, 가격: 9,000원"
닷지,요리주점,별점 4.84,방문자 리뷰 472,블로그 리뷰 393,경기 수원시 영통구 청명북로7번길 17,0.0,"메뉴: 가리비치즈구이, 가격: 24,000원"
양푼애등갈비 영통역점,"육류,고기요리",0.0,"방문자 리뷰 1,623","블로그 리뷰 1,176",경기 수원시 영통구 청명남로4번길 5-4 1층,0.0,
쌤순 영통점,이탈리아음식,0.0,방문자 리뷰 531,블로그 리뷰 599,경기 수원시 영통구 매영로345번길 95 1층 105호,0.0,
카페파브,브런치카페,0.0,방문자 리뷰 108,블로그 리뷰 39,경기 수원시 영통구 청명남로4번길 13-13 1층 FAV,0.0,"메뉴: 헤이즐넛 모카라떼, 가격: 6,300원
메뉴: (신메뉴) 치아바타 샌드위치, 가격: 9,000원
메뉴: 알리오 올리오, 가격: 14,500원
메뉴: 쑥 케이크, 가격: 6,700원
메뉴: 카페 라떼, 가격: 5,000원
메뉴: 아보카도 쉬림프 오픈 샌드위치, 가격: 14,800원
메뉴: 바질 토마토 오픈 샌드위치, 가격: 10,200원
메뉴: 허니 베이컨 치즈 토스트, 가격: 10,000원
메뉴: (신메뉴) 라구 파스타, 가격: 16,200원
메뉴: (신메뉴)과일 샐러드, 가격: 10,800원
메뉴: (신메뉴) 훈제 치킨 샐러드, 가격: 11,000원
메뉴: 양송이 크림 수프, 가격: 8,300원
메뉴: 치킨 플레이트, 가격: 15,500원
메뉴: 아메리카노, 가격: 4,000원
메뉴: 바닐라 라떼, 가격: 6,000원"
태백한우실비,소고기구이,0.0,방문자 리뷰 162,"블로그 리뷰 1,392",경기 수원시 영통구 매영로345번길 7 영통트리플렉스 111호,0.0,"메뉴: 한우 꽃등심(새우살+알등심), 가격: 150,000원
메뉴: 태백 한우 살치(150g), 가격: 46,000원
메뉴: 태백 한우 모듬(150g), 가격: 39,000원
메뉴: 육사시미, 가격: 33,000원
메뉴: 갈비탕, 가격: 13,000원
메뉴: 소고기국밥, 가격: 10,000원
메뉴: 명란순두부탕, 가격: 12,000원
메뉴: 오이소박이 국수, 가격: 8,000원
메뉴: 된장찌개, 가격: 6,000원"
예랑,한정식,별점 4.22,방문자 리뷰 552,"블로그 리뷰 1,216",경기 수원시 영통구 매영로345번길 95 동아프라자 2층,0.0,"메뉴: 궁정식, 가격: 55,000원
메뉴: 예정식, 가격: 19,000원
메뉴: 랑정식, 가격: 25,000원
메뉴: 특정식, 가격: 35,000원
메뉴: 수라정식, 가격: 75,000원
메뉴: 간장게장정식, 가격: 32,000원
메뉴: 보리굴비정식, 가격: 32,000원
메뉴: 코다리정식, 가격: 15,000원
메뉴: 불고기정식, 가격: 15,000원"
두꺼비집부대찌개 영통점,"찌개,전골",0.0,"방문자 리뷰 1,089",블로그 리뷰 248,경기 수원시 영통구 반달로 32,0.0,"메뉴: 부대찌개, 가격: 10,000원
메뉴: 사리, 가격: 1,000~6,000원
메뉴: 햄구이, 가격: 20,000원
메뉴: 모둠구이, 가격: 40,000원
메뉴: 소세지구이, 가격: 20,000원
메뉴: 베이컨 구이, 가격: 20,000원
메뉴: 스테이크 구이, 가격: 25,000원"
장터밥상,"백반,가정식",별점 4.38,방문자 리뷰 582,블로그 리뷰 247,경기 수원시 영통구 반달로 46 2층,0.0,"메뉴: 장터도시락, 가격: 9,000원
메뉴: 백반, 가격: 8,000원
메뉴: 닭도리탕, 가격: 35,000원
메뉴: 김치와 삼겹살, 가격: 15,000원
메뉴: 고등어구이/조림, 가격: 10,000원
메뉴: 제육볶음, 가격: 10,000원
메뉴: 코다리정식, 가격: 12,000원
메뉴: 감자짜글이, 가격: 10,000원
메뉴: 돌솥비빕밥, 가격: 9,000원"
삿뽀로 수원점,일식당,별점 4.32,"방문자 리뷰 1,119",블로그 리뷰 225,경기 수원시 영통구 반달로 31 호원빌딩,0.0,
카인드엉클 영통본점,"카페,디저트",별점 4.62,방문자 리뷰 657,블로그 리뷰 738,경기 수원시 영통구 청명남로 44 2층 카페 kind uncle,0.0,"메뉴: 생딸기 크림치즈케이크 (예약 주문), 가격: 35,000원
메뉴: 1호 플레인 치즈케이크, 가격: 28,000원
메뉴: 생딸기 크림치즈케이크, 가격: 6,500원
메뉴: 딸품빙 (생딸기 빙수), 가격: 17,000원
메뉴: 오딸빙 (오레오 생딸기 빙수), 가격: 17,000원
메뉴: 애망빙 (애플망고 빙수), 가격: 17,000원
메뉴: 인싸꿀빙 (인싸빙/오꿀빙 반반), 가격: 17,000원
메뉴: 오꿀빙 (오레오 꿀꿀이바 빙수), 가격: 17,000원
메뉴: 치품빙 (치즈를 품은 빙수), 가격: 17,000원
메뉴: 옛날 팥빙수, 가격: 16,000원
메뉴: 황치빙 (황치즈 빙수), 가격: 17,000원
메뉴: 로흑빙 (로투스+흑당), 가격: 17,000원"
